Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Mohammed Bakhati,Egypt,,MF,"
",1,,Zamalek Mokhtalat,Egypt
Hassan El-Far,Egypt,,MF, (1913-01-01),2,,Zamalek Mokhtalat,Egypt
Mahmoud El-Nigero,Egypt,,FW,"
",0,,Cairo Shourta Police,Egypt
Ali El-Kaf,Egypt,,DF, (1906-06-15),2,,Zamalek Mokhtalat,Egypt
Yacout El-Soury,Egypt,,DF,"
",4,,Al-Ittihad,Egypt
Mahmoud 'El-Tetsh' Mokhtar (c),Egypt,,FW, (1907-12-23),5,,Al Ahly,Egypt
Aziz Fahmy,Egypt,,GK,"
",1,,Al Ahly,Egypt
Abdulrahman Fawzi,Egypt,,FW, (1909-08-11),2,,Al-Masry AC Port Said,Egypt
Ahmed Halim Ibrahim,Egypt,,MF, (1910-02-10),,,Zamalek Mokhtalat,Egypt
Hamidu,Egypt,,DF,"
",2,,Al-Olympi Alexandria,Egypt
Mohammed Hassan,Egypt,,FW, (1905-02-05),-,,Al-Masry AC Port Said,Egypt
Hafez Kasseb,Egypt,,MF,"
",0,,Al-Olympi Alexandria,Egypt
Mohamed Latif,Egypt,,FW, (1909-10-23),2,,Zamalek Mokhtalat,Egypt
Labib Mahmoud,Egypt,,FW,"
",0,,Al Ahly,Egypt
Mustafa Mansour,Egypt,,GK, (1914-08-02),,,Al Ahly,Egypt
Kamel Mosaoud,Egypt,,FW, (1914-08-02),,,Al Ahly,Egypt
Ismail Rafaat,Egypt,,MF, (1908-01-01),0,,Zamalek Mokhtalat,Egypt
Hassan Raghab,Egypt,,MF, (1909-01-01),2,,Union Recreation Ithad,Egypt
Mostafa Taha,Egypt,,FW, (1910-03-23),,,Zamalek Mokhtalat,Egypt
Moustafa Helmi Youssef,Egypt,,MF, (1911-06-11),0,,Al-Masry AC Port Said,Egypt
