Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Alberto Achá,Bolivia,-,DF, (1917-02-18),23,,The Strongest,Bolivia
Víctor Celestino Algarañaz,Bolivia,-,FW, (1926-04-06),8,,Club Litoral,Bolivia
Alberto Aparicio,Bolivia,-,MF, (1923-11-11),0,,Ferroviario La Paz,Bolivia
Duberty Aráoz,Bolivia,-,MF, (1920-12-21),10,,Club Litoral,Bolivia
Vicente Arraya,Bolivia,-,GK, (1921-01-25),26,,Ferroviario La Paz,Bolivia
Víctor Brown,Bolivia,-,FW, (1927-03-07),2,,Club Bolivar,Bolivia
José Bustamante,Bolivia,-,DF, (1922-03-05),31,,Club Litoral,Bolivia
René Cabrera,Bolivia,-,MF, (1925-10-21),8,,Club Jorge Wilstermann,Bolivia
Roberto Capparelli,Bolivia,-,FW, (1923-11-18),0,,The Strongest,Bolivia
Leonardo Ferrel,Bolivia,-,MF, (1923-07-07),18,,The Strongest,Bolivia
Benedicto Godoy Véizaga,Bolivia,-,FW, (1924-07-28),9,,Ferroviario La Paz,Bolivia
Antonio Greco,Bolivia,-,DF, (1923-09-17),0,,Club Litoral,Bolivia
Juan Guerra,Bolivia,-,FW, (1927-04-13),9,,Ferroviario La Paz,Bolivia
Benigno Gutiérrez,Bolivia,-,FW, (1925-09-01),15,,Club Litoral,Bolivia
Eduardo Gutiérrez,Bolivia,-,GK, (1925-01-17),12,,CD Ingavi,Bolivia
Benjamin Maldonado,Bolivia,-,FW, (1928-01-04),4,,San Jose de Oruro,Bolivia
Mario Mena,Bolivia,-,FW, (1927-02-28),9,,Club Bolívar,Bolivia
Humberto Saavedra,Bolivia,-,MF, (1923-08-03),0,,The Strongest,Bolivia
Eulogio Sandoval,Bolivia,-,MF, (1922-07-22),0,,Club Litoral,Bolivia
Víctor Agustín Ugarte,Bolivia,-,FW, (1926-05-05),16,,Club Bolívar,Bolivia
Antonio Valencia,Bolivia,-,MF, (1925-05-10),9,,Club Bolívar,Bolivia
