Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Li Chan-myung,North Korea,1,GK, (1947-01-02),0,,Kigwancha,North Korea
Pak Li-sup,North Korea,2,DF, (1944-01-06),0,,Amrokgang,North Korea
Shin Yung-kyoo,North Korea,3,DF, (1942-03-30),0,,Moranbong,North Korea
Kang Bong-chil,North Korea,4,MF, (1943-11-07),0,,8 February,North Korea
Lim Zoong-sun,North Korea,5,DF, (1943-07-16),0,,Moranbong,North Korea
Im Seung-hwi,North Korea,6,MF, (1946-02-03),0,,8 February,North Korea
Pak Doo-ik,North Korea,7,FW, (1942-03-17),0,,Moranbong,North Korea
Pak Seung-zin (captain),North Korea,8,FW, (1941-01-11),0,,Moranbong,North Korea
Lee Keun-hak,North Korea,9,GK, (1940-07-07),?,,Moranbong,North Korea
Kang Ryong-woon,North Korea,10,FW, (1942-04-25),0,,Rodongja,North Korea
Han Bong-zin,North Korea,11,MF, (1945-09-02),0,,8 February,North Korea
Kim Seung-Il,North Korea,12,FW, (1945-09-02),0,,Moranbong,North Korea
Oh Yoon-kyung,North Korea,13,DF, (1941-08-06),0,,8 August,North Korea
Ha Jung-won,North Korea,14,DF, (1942-04-20),0,,8 August,North Korea
Yang Seung-kook,North Korea,15,FW, (1944-08-19),0,,Kigwancha,North Korea
Li Dong-woon,North Korea,16,MF, (1945-07-04),0,,Rodongja,North Korea
Kim Bong-hwan,North Korea,17,MF, (1939-07-04),0,,Kigwancha,North Korea
Ke Seung-woon,North Korea,18,MF, (1943-12-26),?,,Rodongja,North Korea
Kim Yung-kil,North Korea,19,DF, (1944-01-29),?,,Rodongja,North Korea
Ryoo Chang-kil,North Korea,20,DF, (1940-11-05),?,,Kigwancha,North Korea
An Se-bok,North Korea,21,MF, (1946-10-29),0,,Amrokgang,North Korea
Li Chi-an,North Korea,22,FW, (1945-07-07),?,,8 February,North Korea
