Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Kazadi Mwamba,Zaire,1,GK, (1947-03-06),0,,TP Mazembe,Zaire
Mwepu Ilunga,Zaire,2,DF, (1949-08-22),0,,TP Mazembe,Zaire
Mwanza Mukombo,Zaire,3,DF, (1945-12-17),0,,TP Mazembe,Zaire
Bwanga Tshimen,Zaire,4,DF, (1949-01-04),0,,TP Mazembe,Zaire
Lobilo Boba,Zaire,5,DF, (1950-04-10),0,,AS Vita Club,Zaire
Kilasu Massamba,Zaire,6,MF, (1948-11-24),0,,AS Bilima,Zaire
Tshinabu Wa Munda,Zaire,7,MF, (1946-05-08),0,,TP Mazembe,Zaire
Mana Mamuwene,Zaire,8,MF, (1947-10-10),0,,DCS Irboual,Zaire
Kembo Uba Kembo,Zaire,9,MF, (1947-12-27),0,,AS Vita Club,Zaire
Kidumu Mantantu (c),Zaire,10,MF, (1946-11-17),0,,CS Imana,Zaire
Kabasu Babo,Zaire,11,DF, (1950-03-04),?,,AS Bilima,Zaire
Tubilandu Ndimbi,Zaire,12,GK, (1948-03-15),0,,AS Vita Club,Zaire
Ndaye Mulamba,Zaire,13,MF, (1948-11-04),0,,AS Vita Club,Zaire
Mayanga Maku,Zaire,14,FW, (1948-10-31),0,,AS Vita Club,Zaire
Kibonge Mafu,Zaire,15,MF, (1945-02-12),0,,AS Vita Club,Zaire
Mwape Mialo,Zaire,16,DF, (1951-12-30),?,,FC Nyiki,Zaire
Kafula Ngoie,Zaire,17,MF, (1945-11-11),?,,TP Mazembe,Zaire
Mavuba Mafuila,Zaire,18,FW, (1949-12-15),?,,AS Vita Club,Zaire
Mbungu Ekofa,Zaire,19,FW, (1948-11-24),?,,CS Imana,Zaire
Jean Kalala N'Tumba,Zaire,20,FW, (1949-01-07),0,,AS Vita Club,Zaire
Kakoko Etepe,Zaire,21,FW, (1950-11-22),0,,CS Imana,Zaire
Kalambay Otepa,Zaire,22,GK, (1948-11-12),?,,TP Mazembe,Zaire
