Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Packie Bonner,Republic of Ireland,1,GK, (1960-05-24),38,,Celtic,Scotland
Chris Morris,Republic of Ireland,2,DF, (1963-12-24),21,,Celtic,Scotland
Steve Staunton,Republic of Ireland,3,DF, (1969-01-19),13,,Liverpool,England
Mick McCarthy (c),Republic of Ireland,4,DF, (1959-02-07),42,,Millwall,England
Kevin Moran,Republic of Ireland,5,DF, (1956-04-29),55,,Blackburn Rovers,England
Ronnie Whelan,Republic of Ireland,6,MF, (1961-09-25),38,,Liverpool,England
Paul McGrath,Republic of Ireland,7,DF, (1959-12-04),36,,Aston Villa,England
Ray Houghton,Republic of Ireland,8,MF, (1962-01-09),29,,Liverpool,England
John Aldridge,Republic of Ireland,9,FW, (1958-09-18),30,,Real Sociedad,Spain
Tony Cascarino,Republic of Ireland,10,FW, (1962-09-01),21,,Aston Villa,England
Kevin Sheedy,Republic of Ireland,11,MF, (1959-10-21),28,,Everton,England
David O'Leary,Republic of Ireland,12,DF, (1958-05-02),51,,Arsenal,England
Andy Townsend,Republic of Ireland,13,MF, (1963-07-23),12,,Norwich City,England
Chris Hughton,Republic of Ireland,14,DF, (1958-12-11),50,,Tottenham Hotspur,England
Bernie Slaven,Republic of Ireland,15,FW, (1960-11-13),4,,Middlesbrough,England
John Sheridan,Republic of Ireland,16,MF, (1964-10-01),8,,Sheffield Wednesday,England
Niall Quinn,Republic of Ireland,17,FW, (1966-10-06),15,,Manchester City,England
Frank Stapleton,Republic of Ireland,18,FW, (1956-07-10),71,,Blackburn Rovers,England
David Kelly,Republic of Ireland,19,FW, (1965-11-25),6,,Leicester City,England
John Byrne,Republic of Ireland,20,FW, (1961-02-01),19,,Le Havre,France
Alan McLoughlin,Republic of Ireland,21,MF, (1967-04-20),1,,Swindon Town,England
Gerry Peyton,Republic of Ireland,22,GK, (1956-05-20),28,,AFC Bournemouth,England
