Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Dragoslav Jevrić,Serbia and Montenegro,1,GK, (1974-07-08),40,,Ankaraspor,Turkey
Ivan Ergić,Serbia and Montenegro,2,MF, (1981-01-21),1,,Basel,Switzerland
Ivica Dragutinović,Serbia and Montenegro,3,DF, (1975-11-13),26,,Sevilla,Spain
Igor Duljaj,Serbia and Montenegro,4,MF, (1979-10-29),37,,Shakhtar Donetsk,Ukraine
Nemanja Vidić,Serbia and Montenegro,5,DF, (1981-10-21),20,,Manchester United,England
Goran Gavrančić,Serbia and Montenegro,6,DF, (1978-08-02),25,,Dynamo Kyiv,Ukraine
Ognjen Koroman,Serbia and Montenegro,7,MF, (1978-09-19),25,,Portsmouth,England
Mateja Kežman,Serbia and Montenegro,8,FW, (1979-04-12),47,,Atlético Madrid,Spain
Savo Milošević (c),Serbia and Montenegro,9,FW, (1973-09-02),98,,Osasuna,Spain
Dejan Stanković,Serbia and Montenegro,10,MF, (1978-09-11),58,,Inter Milan,Italy
Predrag Đorđević,Serbia and Montenegro,11,MF, (1972-08-04),34,,Olympiacos,Greece
Oliver Kovačević,Serbia and Montenegro,12,GK, (1974-12-29),3,,CSKA Sofia,Bulgaria
Dušan Basta,Serbia and Montenegro,13,DF, (1984-08-18),2,,Red Star Belgrade,Serbia
Nenad Đorđević,Serbia and Montenegro,14,DF, (1979-08-07),15,,Partizan,Serbia
Milan Dudić,Serbia and Montenegro,15,DF, (1979-11-01),11,,Red Star Belgrade,Serbia
Dušan Petković[29],Serbia and Montenegro,16,DF, (1974-06-13),7,,OFK Beograd,Serbia
Albert Nađ,Serbia and Montenegro,17,MF, (1974-10-29),42,,Partizan,Serbia
Zvonimir Vukić,Serbia and Montenegro,18,MF, (1979-07-19),25,,Shakhtar Donetsk[30],Ukraine
Nikola Žigić,Serbia and Montenegro,19,FW, (1980-09-25),11,,Red Star Belgrade,Serbia
Mladen Krstajić,Serbia and Montenegro,20,DF, (1974-03-04),45,,Schalke 04,Germany
Danijel Ljuboja,Serbia and Montenegro,21,FW, (1978-09-04),15,,Paris Saint-Germain[31],France
Saša Ilić,Serbia and Montenegro,22,MF, (1977-12-30),32,,Galatasaray,Turkey
Vladimir Stojković,Serbia and Montenegro,23,GK, (1983-07-28),0,,Red Star Belgrade[32],Serbia
