Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Oleksandr Shovkovskyi,Ukraine,1,GK, (1975-01-02),68,,Dynamo Kyiv,Ukraine
Andriy Nesmachniy,Ukraine,2,DF, (1979-02-28),49,,Dynamo Kyiv,Ukraine
Oleksandr Yatsenko,Ukraine,3,DF, (1985-02-24),1,,Kharkiv[85],Ukraine
Anatoliy Tymoshchuk,Ukraine,4,MF, (1979-03-30),55,,Shakhtar Donetsk,Ukraine
Volodymyr Yezerskiy,Ukraine,5,DF, (1976-11-15),24,,Dnipro Dnipropetrovsk,Ukraine
Andriy Rusol,Ukraine,6,DF, (1983-01-16),23,,Dnipro Dnipropetrovsk,Ukraine
Andriy Shevchenko (c),Ukraine,7,FW, (1976-09-29),64,,Milan[86],Italy
Oleh Shelayev,Ukraine,8,MF, (1976-11-05),19,,Dnipro Dnipropetrovsk,Ukraine
Oleh Husyev,Ukraine,9,MF, (1983-04-25),25,,Dynamo Kyiv,Ukraine
Andriy Voronin,Ukraine,10,FW, (1979-07-21),32,,Bayer Leverkusen,Germany
Serhii Rebrov,Ukraine,11,FW, (1974-06-03),70,,Dynamo Kyiv,Ukraine
Andriy Pyatov,Ukraine,12,GK, (1984-06-28),1,,Vorskla Poltava,Ukraine
Dmytro Chyhrynskyi,Ukraine,13,DF, (1986-11-07),0,,Shakhtar Donetsk,Ukraine
Andriy Husin,Ukraine,14,MF, (1972-12-11),64,,Krylya Sovetov Samara,Russia
Artem Milevskyi,Ukraine,15,FW, (1985-01-12),0,,Dynamo Kyiv,Ukraine
Andriy Vorobey,Ukraine,16,FW, (1978-11-29),53,,Shakhtar Donetsk,Ukraine
Vladyslav Vashchuk,Ukraine,17,DF, (1975-01-02),58,,Dynamo Kyiv,Ukraine
Serhiy Nazarenko,Ukraine,18,MF, (1980-02-16),15,,Dnipro Dnipropetrovsk,Ukraine
Maksym Kalynychenko,Ukraine,19,MF, (1979-01-26),21,,Spartak Moscow,Russia
Oleksiy Byelik,Ukraine,20,FW, (1981-02-15),15,,Shakhtar Donetsk,Ukraine
Ruslan Rotan,Ukraine,21,MF, (1981-10-29),19,,Dynamo Kyiv,Ukraine
Vyacheslav Sviderskyi,Ukraine,22,DF, (1979-01-01),6,,Shakhtar Donetsk[87],Ukraine
Bohdan Shust,Ukraine,23,GK, (1986-03-04),2,,Shakhtar Donetsk,Ukraine
