Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Asmir Begović,Bosnia and Herzegovina,1,GK, (1987-06-20),30,,Stoke City,England
Avdija Vršajević,Bosnia and Herzegovina,2,DF, (1986-03-06),13,,Hajduk Split,Croatia
Ermin Bičakčić,Bosnia and Herzegovina,3,DF, (1990-01-24),7,,Eintracht Braunschweig[113],Germany
Emir Spahić (c),Bosnia and Herzegovina,4,DF, (1980-08-18),74,,Bayer Leverkusen,Germany
Sead Kolašinac,Bosnia and Herzegovina,5,DF, (1993-06-20),4,,Schalke 04,Germany
Ognjen Vranješ,Bosnia and Herzegovina,6,DF, (1989-10-24),13,,Elazığspor,Turkey
Muhamed Bešić,Bosnia and Herzegovina,7,DF, (1992-09-10),9,,Ferencváros,Hungary
Miralem Pjanić,Bosnia and Herzegovina,8,MF, (1990-04-02),48,,Roma,Italy
Vedad Ibišević,Bosnia and Herzegovina,9,FW, (1984-08-06),55,,VfB Stuttgart,Germany
Zvjezdan Misimović,Bosnia and Herzegovina,10,MF, (1982-06-05),81,,Guizhou Renhe,China
Edin Džeko,Bosnia and Herzegovina,11,FW, (1986-03-17),62,,Manchester City,England
Jasmin Fejzić,Bosnia and Herzegovina,12,GK, (1986-05-15),0,,VfR Aalen,Germany
Mensur Mujdža,Bosnia and Herzegovina,13,DF, (1984-03-28),24,,SC Freiburg,Germany
Tino-Sven Sušić,Bosnia and Herzegovina,14,MF, (1992-02-13),2,,Hajduk Split,Croatia
Toni Šunjić,Bosnia and Herzegovina,15,DF, (1988-12-15),8,,Zorya Luhansk[114],Ukraine
Senad Lulić,Bosnia and Herzegovina,16,MF, (1986-01-18),33,,Lazio,Italy
Senijad Ibričić,Bosnia and Herzegovina,17,MF, (1985-09-26),42,,Kayseri Erciyesspor,Turkey
Haris Medunjanin,Bosnia and Herzegovina,18,MF, (1985-03-08),35,,Gaziantepspor,Turkey
Edin Višća,Bosnia and Herzegovina,19,FW, (1990-02-17),10,,İstanbul Başakşehir,Turkey
Izet Hajrović,Bosnia and Herzegovina,20,MF, (1991-08-04),7,,Galatasaray[115],Turkey
Anel Hadžić,Bosnia and Herzegovina,21,MF, (1989-08-16),2,,Sturm Graz,Austria
Asmir Avdukić,Bosnia and Herzegovina,22,GK, (1981-05-13),3,,Borac Banja Luka,Bosnia and Herzegovina
Sejad Salihović,Bosnia and Herzegovina,23,MF, (1984-10-08),42,,1899 Hoffenheim,Germany
